,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
48,19,1983,0,1953,황규봉,삼성,, 5 , 1 , 14 , 6 , 4 , 3 , 0 , 130.0 , 66 ,, 548 , 136 , 10 , 36 , 4 , 10 , 45 , 0 , 4 , 3.67 , 3.33 , 1.32 , 91.2 , 100.3 , 1.84 ,,,
49,20,1983,0,1958,황기선,83해_#DB0000,, 0 , 0 , 3 , 4 , 4 , 1 , 0 , 66.1 , 27 ,, 265 , 50 , 3 , 14 , 1 , 7 , 34 , 1 , 2 , 2.31 , 2.53 , 0.97 , 141.1 , 128.9 , 1.74 ,,,
50,21,1983,0,1954,이광권,83M_#1245AB,, 3 , 0 , 20 , 7 , 5 , 0 , 0 , 100.1 , 37 ,, 411 , 96 , 7 , 31 , 1 , 4 , 35 , 1 , 1 , 2.51 , 3.28 , 1.27 , 123.1 , 94.2 , 1.74 ,,,
51,22,1983,0,1948,주동식,83해_#DB0000,, 3 , 2 , 21 , 7 , 7 , 3 , 0 , 134.1 , 60 ,, 599 , 133 , 14 , 38 , 0 , 9 , 56 , 0 , 1 , 3.35 , 3.63 , 1.27 , 97.1 , 89.7 , 1.70 ,,,
52,23,1983,0,1958,노상수,롯데,, 4 , 1 , 22 , 8 , 11 , 3 , 0 , 169.2 , 94 ,, 733 , 179 , 17 , 52 , 6 , 12 , 69 , 2 , 1 , 4.14 , 3.57 , 1.36 , 79.7 , 92.4 , 1.54 ,,,
53,24,1983,0,1954,천창호,롯데,, 0 , 0 , 1 , 7 , 3 , 0 , 0 , 81.2 , 39 ,, 349 , 91 , 12 , 12 , 1 , 6 , 38 , 0 , 0 , 3.42 , 3.66 , 1.26 , 96.6 , 90.1 , 1.29 ,,,
54,25,1983,0,1959,김재현,83삼_#000063,, 0 , 0 , 3 , 2 , 1 , 0 , 0 , 49.0 , 24 ,, 201 , 47 , 1 , 14 , 1 , 2 , 11 , 0 , 0 , 3.31 , 2.79 , 1.25 , 101.4 , 120.1 , 0.93 ,,,
55,26,1983,0,1957,선우대영,83O_#000042,, 5 , 1 , 12 , 4 , 6 , 1 , 0 , 96.2 , 45 ,, 408 , 97 , 13 , 28 , 0 , 6 , 38 , 1 , 1 , 3.91 , 4.08 , 1.29 , 83.7 , 80.3 , 0.89 ,,,
56,27,1983,0,1955,이선희,삼성,, 3 , 1 , 19 , 5 , 13 , 0 , 0 , 127.0 , 66 ,, 548 , 122 , 17 , 59 , 1 , 7 , 56 , 0 , 3 , 3.76 , 4.45 , 1.43 , 89.1 , 75.2 , 0.71 ,,,
57,28,1983,0,1959,정선두,83O_#000042,, 1 , 1 , 4 , 3 , 1 , 0 , 0 , 52.0 , 19 ,, 215 , 47 , 6 , 20 , 0 , 2 , 9 , 0 , 1 , 2.60 , 4.48 , 1.29 , 126.1 , 73.1 , 0.70 ,,,
58,29,1983,0,1960,장호연,83O_#000042,, 3 , 1 , 16 , 6 , 17 , 2 , 0 , 155.1 , 93 ,, 681 , 165 , 10 , 67 , 5 , 14 , 31 , 1 , 3 , 4.23 , 3.96 , 1.49 , 77.4 , 82.6 , 0.65 ,,,
59,30,1983,0,1955,정성만,83삼_#000063,, 2 , 0 , 7 , 3 , 5 , 0 , 0 , 61.2 , 27 ,, 253 , 46 , 11 , 27 , 0 , 0 , 26 , 0 , 4 , 2.92 , 4.85 , 1.18 , 114.8 , 69.2 , 0.44 ,,,
60,1,1984,0,1958,최동원,롯데,, 14 , 1 , 20 , 27 , 13 , 6 , 0 , 284.2 , 91 ,, 1132 , 229 , 18 , 68 , 1 , 14 , 223 , 0 , 3 , 2.40 , 2.25 , 1.04 , 135.4 , 144.6 , 9.72 ,,,
61,2,1984,0,1951,김일융,삼성,, 14 , 3 , 23 , 16 , 10 , 3 , 0 , 222.0 , 68 ,, 907 , 191 , 7 , 78 , 4 , 6 , 155 , 1 , 5 , 2.27 , 2.24 , 1.21 , 146.8 , 149.1 , 7.44 ,,,
62,3,1984,0,1950,장명부,84삼_#000063,, 15 , 2 , 25 , 13 , 20 , 7 , 0 , 261.2 , 111 ,, 1074 , 261 , 20 , 66 , 7 , 6 , 145 , 0 , 3 , 3.30 , 2.77 , 1.25 , 101.6 , 121.1 , 5.79 ,,,
63,4,1984,0,1953,계형철,84O_#000042,, 6 , 1 , 28 , 14 , 4 , 0 , 0 , 174.2 , 44 ,, 701 , 135 , 8 , 63 , 1 , 7 , 92 , 0 , 4 , 2.06 , 2.87 , 1.13 , 162.9 , 117.1 , 5.46 ,,,
64,5,1984,0,1960,이상윤,84해_#DB0000,, 8 , 1 , 18 , 10 , 13 , 8 , 0 , 211.2 , 75 ,, 876 , 186 , 14 , 73 , 8 , 10 , 128 , 0 , 2 , 2.85 , 2.85 , 1.22 , 115.7 , 115.5 , 5.43 ,,,
65,6,1984,0,1961,윤석환,84O_#000042,, 0 , 0 , 4 , 12 , 8 , 25 , 0 , 146.0 , 49 ,, 581 , 108 , 17 , 43 , 4 , 3 , 111 , 1 , 3 , 2.84 , 3.00 , 1.03 , 118.4 , 112.1 , 4.29 ,,,
66,7,1984,0,1961,최일언,84O_#000042,, 2 , 0 , 18 , 9 , 6 , 3 , 0 , 167.2 , 60 ,, 695 , 145 , 6 , 65 , 3 , 8 , 86 , 0 , 8 , 2.84 , 2.83 , 1.25 , 118.1 , 118.6 , 4.25 ,,,
67,8,1984,0,1960,오영일,84M_#1245AB,, 14 , 2 , 23 , 15 , 14 , 3 , 0 , 239.2 , 92 ,, 1004 , 239 , 16 , 79 , 2 , 13 , 92 , 0 , 3 , 3.08 , 3.37 , 1.33 , 100.4 , 91.8 , 3.77 ,,,
68,9,1984,0,1958,김시진,삼성,, 11 , 2 , 26 , 19 , 11 , 2 , 0 , 215.0 , 94 ,, 910 , 178 , 14 , 112 , 2 , 13 , 154 , 0 , 8 , 3.18 , 3.27 , 1.35 , 104.7 , 101.9 , 3.65 ,,,
69,10,1984,0,1961,김봉근,84M_#1245AB,, 7 , 1 , 20 , 9 , 7 , 2 , 0 , 171.1 , 62 ,, 681 , 146 , 9 , 37 , 3 , 6 , 60 , 1 , 1 , 2.52 , 2.82 , 1.07 , 122.6 , 109.4 , 3.58 ,,,
70,11,1984,0,1955,하기룡,84M_#1245AB,, 11 , 3 , 19 , 15 , 8 , 1 , 0 , 178.2 , 70 ,, 751 , 171 , 7 , 59 , 2 , 13 , 81 , 0 , 6 , 2.82 , 2.92 , 1.29 , 109.6 , 105.9 , 3.38 ,,,
71,12,1984,0,1955,박상열,84O_#000042,, 1 , 0 , 22 , 12 , 7 , 0 , 0 , 133.0 , 42 ,, 532 , 108 , 8 , 49 , 0 , 10 , 47 , 0 , 1 , 2.57 , 3.55 , 1.18 , 130.6 , 94.7 , 2.92 ,,,
72,13,1984,0,1956,유종겸,84M_#1245AB,, 6 , 0 , 16 , 8 , 10 , 4 , 0 , 183.2 , 79 ,, 770 , 181 , 13 , 52 , 1 , 5 , 86 , 1 , 4 , 3.53 , 3.04 , 1.27 , 87.6 , 101.7 , 2.90 ,,,
73,14,1984,0,1958,김용남,84해_#DB0000,, 6 , 2 , 21 , 7 , 11 , 1 , 0 , 132.2 , 58 ,, 547 , 133 , 10 , 19 , 0 , 1 , 68 , 0 , 1 , 3.05 , 2.55 , 1.15 , 108.0 , 129.4 , 2.90 ,,,
74,15,1984,0,1953,황규봉,삼성,, 2 , 1 , 8 , 10 , 2 , 4 , 0 , 108.0 , 42 ,, 452 , 109 , 4 , 24 , 1 , 8 , 48 , 0 , 2 , 3.25 , 2.60 , 1.23 , 102.5 , 128.4 , 2.83 ,,,
75,16,1984,0,1960,장호연,84O_#000042,, 0 , 0 , 4 , 5 , 3 , 1 , 0 , 102.1 , 34 ,, 407 , 77 , 3 , 35 , 0 , 4 , 47 , 0 , 3 , 1.58 , 2.75 , 1.09 , 212.2 , 122.3 , 2.81 ,,,
76,17,1984,0,1954,권영호,삼성,, 2 , 0 , 18 , 6 , 8 , 2 , 0 , 137.1 , 53 ,, 574 , 124 , 8 , 57 , 3 , 4 , 52 , 1 , 0 , 3.28 , 3.41 , 1.32 , 101.7 , 97.8 , 2.61 ,,,
77,18,1984,0,1961,최계훈,84삼_#000063,, 4 , 0 , 12 , 8 , 8 , 9 , 0 , 137.1 , 67 ,, 589 , 132 , 9 , 55 , 2 , 6 , 99 , 2 , 1 , 3.54 , 2.84 , 1.36 , 94.8 , 118.1 , 2.55 ,,,
78,19,1984,0,1948,주동식,84해_#DB0000,, 4 , 2 , 10 , 6 , 5 , 0 , 0 , 83.1 , 23 ,, 333 , 74 , 4 , 21 , 4 , 3 , 27 , 0 , 0 , 2.27 , 2.84 , 1.14 , 145.3 , 116.2 , 2.48 ,,,
79,20,1984,0,1956,임호균,롯데,, 9 , 0 , 24 , 10 , 9 , 0 , 0 , 161.2 , 64 ,, 692 , 151 , 9 , 80 , 2 , 3 , 44 , 0 , 2 , 2.95 , 3.82 , 1.43 , 110.3 , 85.1 , 2.23 ,,,
80,21,1984,0,1959,박정후,84삼_#000063,, 2 , 0 , 22 , 5 , 11 , 0 , 0 , 139.0 , 58 ,, 586 , 129 , 9 , 70 , 1 , 11 , 60 , 3 , 6 , 3.50 , 3.85 , 1.43 , 96.0 , 87.2 , 1.96 ,,,
81,22,1984,0,1956,배경환,롯데,, 2 , 0 , 15 , 6 , 5 , 2 , 0 , 121.2 , 57 ,, 516 , 134 , 10 , 28 , 0 , 5 , 59 , 0 , 2 , 3.48 , 3.05 , 1.33 , 93.6 , 106.6 , 1.95 ,,,
