,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
608,9,2002,0,1974,장문석,LG,, 0 , 0 , 0 , 10 , 3 , 4 , 9 , 101.1 , 22 ,, 411 , 75 , 3 , 39 , 2 , 3 , 86 , 0 , 2 , 1.60 , 2.87 , 1.13 , 258.7 , 143.9 , 4.17 ,,,
609,10,2002,0,1983,김진우,KIA,, 4 , 1 , 29 , 12 , 11 , 0 , 0 , 188.0 , 94 ,, 818 , 201 , 20 , 67 , 1 , 11 , 177 , 1 , 14 , 4.07 , 3.73 , 1.43 , 104.6 , 114.1 , 4.10 ,,,
610,11,2002,0,1981,이승호,SK,, 1 , 0 , 19 , 6 , 12 , 0 , 0 , 142.2 , 55 ,, 582 , 120 , 18 , 40 , 4 , 5 , 144 , 0 , 2 , 3.15 , 3.49 , 1.12 , 133.4 , 120.7 , 4.09 ,,,
611,12,2002,0,1972,리오스,KIA,, 3 , 0 , 13 , 14 , 5 , 13 , 1 , 157.2 , 59 ,, 662 , 140 , 14 , 44 , 2 , 24 , 102 , 0 , 5 , 3.14 , 4.12 , 1.17 , 135.6 , 103.4 , 4.04 ,,,
612,13,2002,0,1971,이상훈,LG,, 0 , 0 , 0 , 7 , 2 , 18 , 0 , 85.2 , 18 ,, 343 , 53 , 8 , 30 , 9 , 3 , 92 , 0 , 2 , 1.68 , 2.91 , 0.97 , 246.0 , 142.2 , 3.72 ,,,
613,14,2002,0,1982,채병용,SK,, 2 , 2 , 15 , 7 , 9 , 11 , 2 , 141.0 , 51 ,, 578 , 120 , 20 , 44 , 3 , 9 , 126 , 1 , 4 , 3.19 , 4.12 , 1.16 , 131.8 , 102.1 , 3.58 ,,,
614,15,2002,0,1983,이동현,LG,, 0 , 0 , 2 , 8 , 3 , 7 , 6 , 124.2 , 39 ,, 516 , 110 , 13 , 43 , 4 , 5 , 106 , 0 , 3 , 2.67 , 3.72 , 1.23 , 154.8 , 111.3 , 3.52 ,,,
615,16,2002,0,1966,피코타,한화,, 0 , 0 , 8 , 6 , 6 , 14 , 1 , 102.2 , 42 ,, 462 , 115 , 5 , 44 , 7 , 10 , 104 , 0 , 10 , 3.51 , 2.98 , 1.55 , 124.0 , 145.8 , 3.39 ,,,
616,17,2002,0,1968,콜,두산,, 2 , 2 , 27 , 12 , 6 , 0 , 0 , 157.0 , 71 ,, 678 , 152 , 11 , 73 , 1 , 8 , 114 , 0 , 10 , 4.01 , 3.99 , 1.43 , 102.6 , 103.2 , 3.32 ,,,
617,18,2002,0,1970,김현욱,삼성,, 0 , 0 , 0 , 10 , 0 , 2 , 9 , 76.2 , 20 ,, 301 , 62 , 4 , 18 , 2 , 2 , 71 , 0 , 1 , 2.11 , 2.53 , 1.04 , 204.1 , 170.3 , 3.13 ,,,
618,19,2002,0,1971,이상훈,두산,, 0 , 0 , 8 , 4 , 10 , 2 , 6 , 133.2 , 59 ,, 567 , 129 , 9 , 40 , 5 , 10 , 93 , 0 , 6 , 3.91 , 3.50 , 1.26 , 105.5 , 117.8 , 3.05 ,,,
619,20,2002,0,1980,구자운,두산,, 0 , 0 , 23 , 8 , 8 , 1 , 0 , 133.0 , 64 ,, 580 , 134 , 6 , 58 , 1 , 7 , 95 , 0 , 2 , 3.79 , 3.60 , 1.44 , 108.7 , 114.3 , 2.91 ,,,
620,21,2002,0,1966,이강철,KIA,, 0 , 0 , 0 , 5 , 2 , 17 , 8 , 105.0 , 41 ,, 441 , 82 , 12 , 36 , 4 , 10 , 97 , 0 , 0 , 3.17 , 3.84 , 1.12 , 134.3 , 110.9 , 2.72 ,,,
621,22,2002,0,1975,손민한,롯데,, 2 , 1 , 22 , 4 , 9 , 0 , 0 , 142.1 , 68 ,, 586 , 144 , 19 , 30 , 1 , 4 , 82 , 0 , 5 , 3.67 , 4.28 , 1.22 , 114.7 , 98.3 , 2.70 ,,,
622,23,2002,0,1973,염종석,롯데,, 0 , 0 , 30 , 8 , 14 , 0 , 0 , 159.0 , 93 ,, 690 , 180 , 15 , 36 , 1 , 15 , 108 , 0 , 2 , 4.36 , 3.81 , 1.36 , 96.5 , 110.3 , 2.63 ,,,
623,24,2002,0,1979,이재영,두산,, 0 , 0 , 3 , 4 , 6 , 2 , 7 , 97.1 , 36 ,, 398 , 64 , 9 , 47 , 3 , 3 , 112 , 0 , 3 , 2.96 , 3.35 , 1.14 , 139.2 , 122.9 , 2.60 ,,,
624,25,2002,0,1971,조웅천,SK,, 0 , 0 , 0 , 9 , 5 , 6 , 5 , 82.2 , 31 ,, 327 , 70 , 8 , 21 , 10 , 1 , 63 , 0 , 1 , 3.27 , 3.17 , 1.10 , 128.8 , 132.7 , 2.48 ,,,
625,26,2002,0,1977,토레스,02현_#000000,, 3 , 2 , 28 , 10 , 11 , 0 , 0 , 180.1 , 97 ,, 778 , 182 , 21 , 64 , 1 , 21 , 97 , 0 , 11 , 4.19 , 4.84 , 1.36 , 101.9 , 88.3 , 2.44 ,,,
626,27,2002,0,1977,김민기,LG,, 0 , 0 , 19 , 7 , 5 , 0 , 0 , 99.0 , 39 ,, 412 , 101 , 12 , 23 , 0 , 3 , 66 , 0 , 0 , 3.18 , 4.03 , 1.25 , 130.0 , 102.6 , 2.37 ,,,
627,28,2002,0,1963,만자니오,LG,, 2 , 0 , 29 , 8 , 11 , 0 , 1 , 162.1 , 85 ,, 735 , 161 , 13 , 94 , 2 , 21 , 122 , 2 , 3 , 4.32 , 4.63 , 1.57 , 95.6 , 89.4 , 2.23 ,,,
628,29,2002,0,1979,김수경,02현_#000000,, 0 , 0 , 27 , 12 , 10 , 0 , 0 , 151.1 , 84 ,, 657 , 155 , 25 , 58 , 1 , 2 , 130 , 0 , 8 , 4.88 , 4.60 , 1.41 , 87.6 , 92.8 , 2.13 ,,,
629,30,2002,0,1972,정민철,한화,, 0 , 0 , 24 , 7 , 13 , 0 , 0 , 138.0 , 83 ,, 599 , 144 , 19 , 39 , 1 , 9 , 116 , 1 , 4 , 5.35 , 4.13 , 1.33 , 81.3 , 105.2 , 2.13 ,,,
630,1,2003,0,1971,이상목,한화,, 1 , 1 , 29 , 15 , 7 , 1 , 1 , 185.1 , 78 ,, 774 , 203 , 18 , 29 , 2 , 4 , 118 , 1 , 2 , 3.54 , 3.25 , 1.25 , 122.5 , 133.6 , 5.60 ,,,
631,2,2003,0,1983,김진우,KIA,, 4 , 2 , 24 , 11 , 5 , 0 , 0 , 169.1 , 68 ,, 707 , 150 , 9 , 63 , 1 , 12 , 146 , 0 , 10 , 3.45 , 3.04 , 1.26 , 123.9 , 141.0 , 5.45 ,,,
632,3,2003,0,1970,정민태,03현_#000000,, 1 , 0 , 29 , 17 , 2 , 0 , 0 , 177.0 , 76 ,, 741 , 179 , 17 , 42 , 1 , 5 , 122 , 0 , 3 , 3.31 , 3.41 , 1.25 , 130.7 , 126.7 , 5.02 ,,,
633,4,2003,0,1976,이승호,LG,, 1 , 1 , 30 , 11 , 11 , 0 , 0 , 191.2 , 76 ,, 817 , 151 , 17 , 103 , 3 , 9 , 157 , 0 , 6 , 3.19 , 3.98 , 1.33 , 130.1 , 104.4 , 4.71 ,,,
634,5,2003,0,1966,송진우,한화,, 1 , 0 , 14 , 9 , 7 , 7 , 2 , 129.2 , 48 ,, 534 , 111 , 9 , 40 , 1 , 6 , 93 , 1 , 5 , 3.12 , 3.27 , 1.17 , 139.0 , 132.8 , 4.26 ,,,
635,6,2003,0,1971,바워스,03현_#000000,, 0 , 0 , 22 , 13 , 4 , 1 , 1 , 143.2 , 58 ,, 601 , 145 , 12 , 46 , 0 , 9 , 85 , 0 , 5 , 3.01 , 3.81 , 1.33 , 143.7 , 113.4 , 3.95 ,,,
636,7,2003,0,1972,리오스,KIA,, 2 , 0 , 30 , 10 , 13 , 0 , 0 , 188.2 , 93 ,, 820 , 186 , 19 , 62 , 1 , 28 , 121 , 0 , 5 , 3.82 , 4.20 , 1.31 , 112.2 , 101.9 , 3.69 ,,,
637,8,2003,0,1971,조웅천,SK,, 0 , 0 , 0 , 6 , 5 , 30 , 2 , 77.2 , 18 ,, 316 , 70 , 7 , 19 , 7 , 4 , 75 , 0 , 0 , 1.97 , 2.62 , 1.15 , 211.7 , 159.3 , 3.65 ,,,
638,9,2003,0,1976,임창용,삼성,, 1 , 1 , 26 , 13 , 3 , 1 , 0 , 147.0 , 63 ,, 618 , 141 , 15 , 44 , 1 , 15 , 85 , 0 , 1 , 3.55 , 4.11 , 1.26 , 122.9 , 106.1 , 3.57 ,,,
639,10,2003,0,1968,키퍼,KIA,, 3 , 1 , 29 , 8 , 7 , 0 , 0 , 168.2 , 78 ,, 711 , 160 , 15 , 46 , 2 , 17 , 77 , 0 , 2 , 3.79 , 4.09 , 1.22 , 109.8 , 103.1 , 3.49 ,,,
640,11,2003,0,1974,전승남,LG,, 0 , 0 , 0 , 8 , 2 , 2 , 11 , 106.2 , 34 ,, 438 , 103 , 6 , 22 , 3 , 5 , 56 , 0 , 1 , 2.45 , 3.12 , 1.17 , 169.8 , 133.3 , 3.46 ,,,
641,12,2003,0,1981,배영수,삼성,, 1 , 0 , 30 , 13 , 5 , 0 , 0 , 163.2 , 85 ,, 722 , 174 , 11 , 77 , 0 , 7 , 99 , 1 , 12 , 4.51 , 3.96 , 1.53 , 96.8 , 110.1 , 3.38 ,,,
642,13,2003,0,1967,이리키,두산,, 5 , 1 , 20 , 7 , 11 , 5 , 0 , 159.0 , 68 ,, 676 , 155 , 17 , 53 , 3 , 9 , 87 , 0 , 2 , 3.74 , 4.17 , 1.31 , 111.3 , 99.8 , 3.37 ,,,
643,14,2003,0,1970,김현욱,삼성,, 0 , 0 , 0 , 8 , 2 , 0 , 13 , 85.2 , 23 ,, 336 , 63 , 7 , 19 , 1 , 5 , 73 , 0 , 1 , 2.00 , 2.92 , 0.96 , 218.6 , 149.3 , 3.30 ,,,
644,15,2003,0,1979,김수경,03현_#000000,, 1 , 1 , 29 , 10 , 9 , 0 , 0 , 167.0 , 96 ,, 738 , 184 , 14 , 70 , 0 , 4 , 121 , 0 , 12 , 4.63 , 3.73 , 1.52 , 93.2 , 115.8 , 3.14 ,,,
645,16,2003,0,1980,김진웅,삼성,, 0 , 0 , 25 , 9 , 11 , 1 , 0 , 153.1 , 75 ,, 672 , 151 , 19 , 70 , 2 , 5 , 99 , 1 , 6 , 4.05 , 4.51 , 1.44 , 107.7 , 96.8 , 2.86 ,,,
646,17,2003,0,1983,신용운,KIA,, 0 , 0 , 0 , 11 , 3 , 4 , 11 , 119.0 , 51 ,, 500 , 111 , 15 , 35 , 2 , 9 , 96 , 0 , 3 , 3.63 , 3.84 , 1.23 , 118.0 , 111.4 , 2.81 ,,,
647,18,2003,0,1971,최상덕,KIA,, 2 , 1 , 22 , 11 , 5 , 0 , 0 , 126.1 , 53 ,, 534 , 128 , 16 , 38 , 0 , 5 , 63 , 0 , 0 , 3.56 , 4.43 , 1.31 , 120.2 , 96.7 , 2.76 ,,,
648,19,2003,0,1972,정민철,한화,, 0 , 0 , 26 , 11 , 10 , 0 , 0 , 139.2 , 65 ,, 598 , 132 , 18 , 51 , 1 , 4 , 73 , 1 , 6 , 4.00 , 4.55 , 1.31 , 108.7 , 95.4 , 2.72 ,,,
649,20,2003,0,1971,권준헌,03현_#000000,, 0 , 0 , 0 , 8 , 4 , 9 , 10 , 93.0 , 37 ,, 378 , 85 , 9 , 23 , 2 , 4 , 67 , 0 , 5 , 3.19 , 3.38 , 1.16 , 135.3 , 127.7 , 2.72 ,,,
650,21,2003,0,1972,스미스,SK,, 1 , 1 , 27 , 7 , 10 , 0 , 0 , 152.0 , 84 ,, 662 , 157 , 9 , 61 , 1 , 9 , 82 , 1 , 4 , 4.20 , 3.81 , 1.43 , 99.2 , 109.4 , 2.66 ,,,
651,22,2003,0,1966,이강철,KIA,, 0 , 0 , 0 , 6 , 4 , 9 , 14 , 68.1 , 21 ,, 273 , 42 , 7 , 23 , 2 , 8 , 57 , 1 , 1 , 1.98 , 3.70 , 0.95 , 216.7 , 115.8 , 2.19 ,,,
652,23,2003,0,1980,구자운,두산,, 0 , 0 , 10 , 4 , 9 , 18 , 0 , 95.0 , 48 ,, 409 , 98 , 7 , 30 , 3 , 3 , 64 , 0 , 4 , 4.17 , 3.32 , 1.35 , 99.8 , 125.3 , 2.14 ,,,
653,24,2003,0,1975,박지철,롯데,, 1 , 0 , 24 , 8 , 7 , 0 , 0 , 129.2 , 64 ,, 574 , 128 , 16 , 57 , 0 , 9 , 78 , 1 , 9 , 3.89 , 4.69 , 1.43 , 109.0 , 90.3 , 2.06 ,,,
654,25,2003,0,1971,이상훈,LG,, 0 , 0 , 0 , 4 , 4 , 30 , 0 , 56.2 , 22 ,, 233 , 42 , 4 , 21 , 4 , 0 , 55 , 0 , 1 , 3.34 , 2.64 , 1.11 , 124.5 , 157.6 , 2.06 ,,,
655,26,2003,0,1977,신철인,03현_#000000,, 0 , 0 , 0 , 3 , 2 , 1 , 10 , 76.1 , 28 ,, 327 , 59 , 10 , 40 , 0 , 4 , 88 , 0 , 2 , 3.07 , 3.89 , 1.30 , 140.9 , 111.2 , 1.99 ,,,
656,27,2003,0,1978,정현욱,삼성,, 0 , 0 , 3 , 4 , 5 , 1 , 3 , 86.1 , 47 ,, 373 , 91 , 6 , 32 , 0 , 2 , 77 , 0 , 4 , 4.59 , 3.06 , 1.43 , 95.1 , 142.5 , 1.96 ,,,
657,28,2003,0,1976,박정진,한화,, 0 , 0 , 3 , 6 , 7 , 3 , 11 , 100.1 , 52 ,, 429 , 82 , 8 , 50 , 1 , 3 , 73 , 0 , 9 , 4.31 , 3.90 , 1.32 , 100.8 , 111.4 , 1.94 ,,,
658,29,2003,0,1974,노장진,삼성,, 0 , 0 , 0 , 9 , 10 , 21 , 1 , 83.0 , 40 ,, 364 , 73 , 8 , 48 , 2 , 5 , 87 , 0 , 1 , 4.12 , 3.76 , 1.46 , 105.9 , 116.0 , 1.94 ,,,
659,30,2003,0,1980,김광삼,LG,, 1 , 0 , 22 , 7 , 9 , 0 , 0 , 111.0 , 59 ,, 492 , 115 , 7 , 59 , 1 , 4 , 69 , 1 , 9 , 4.46 , 4.01 , 1.57 , 93.1 , 103.5 , 1.91 ,,,
660,1,2004,0,1972,리오스,KIA,, 3 , 2 , 32 , 17 , 8 , 0 , 0 , 222.2 , 75 ,, 932 , 209 , 10 , 70 , 1 , 25 , 145 , 0 , 3 , 2.87 , 3.50 , 1.25 , 152.1 , 124.8 , 7.41 ,,,
661,2,2004,0,1981,배영수,삼성,, 4 , 2 , 27 , 17 , 2 , 0 , 0 , 189.2 , 65 ,, 792 , 163 , 6 , 74 , 1 , 11 , 144 , 1 , 13 , 2.61 , 3.17 , 1.25 , 166.3 , 136.9 , 6.54 ,,,
662,3,2004,0,1977,박명환,두산,, 0 , 0 , 26 , 12 , 3 , 0 , 0 , 158.2 , 50 ,, 651 , 130 , 4 , 52 , 1 , 7 , 162 , 0 , 8 , 2.50 , 2.33 , 1.15 , 167.8 , 179.7 , 6.53 ,,,
663,4,2004,0,1973,레스,두산,, 4 , 2 , 29 , 17 , 8 , 0 , 0 , 200.2 , 68 ,, 831 , 189 , 12 , 57 , 3 , 15 , 116 , 0 , 6 , 2.60 , 3.60 , 1.23 , 161.0 , 116.3 , 6.14 ,,,
664,5,2004,0,1980,권오준,삼성,, 0 , 0 , 17 , 11 , 5 , 2 , 7 , 153.1 , 56 ,, 619 , 128 , 15 , 40 , 2 , 7 , 142 , 0 , 3 , 3.23 , 3.25 , 1.10 , 134.4 , 133.6 , 5.00 ,,,
665,6,2004,0,1966,송진우,한화,, 1 , 0 , 26 , 11 , 8 , 1 , 0 , 172.0 , 73 ,, 729 , 162 , 19 , 44 , 1 , 7 , 100 , 0 , 5 , 3.61 , 4.09 , 1.20 , 122.1 , 107.7 , 4.31 ,,,
666,7,2004,0,1968,피어리,04현_#000000,, 0 , 0 , 28 , 16 , 6 , 0 , 0 , 181.2 , 73 ,, 759 , 166 , 24 , 61 , 0 , 9 , 130 , 1 , 1 , 3.32 , 4.39 , 1.25 , 130.5 , 98.6 , 4.24 ,,,
667,8,2004,0,1979,조용준,04현_#000000,, 0 , 0 , 0 , 10 , 3 , 34 , 0 , 75.0 , 19 ,, 301 , 67 , 0 , 22 , 0 , 3 , 56 , 0 , 4 , 2.28 , 2.46 , 1.19 , 189.9 , 176.4 , 3.87 ,,,
668,9,2004,0,1975,손민한,롯데,, 0 , 0 , 11 , 9 , 2 , 8 , 0 , 108.2 , 36 ,, 433 , 90 , 8 , 29 , 3 , 2 , 88 , 0 , 4 , 2.73 , 3.06 , 1.10 , 156.2 , 139.6 , 3.73 ,,,
669,10,2004,0,1975,임경완,롯데,, 0 , 0 , 0 , 4 , 6 , 5 , 22 , 105.1 , 39 ,, 448 , 102 , 4 , 41 , 10 , 12 , 72 , 0 , 1 , 3.16 , 3.30 , 1.36 , 135.1 , 129.4 , 3.38 ,,,
670,11,2004,0,1975,박지철,롯데,, 1 , 1 , 26 , 9 , 7 , 0 , 0 , 139.2 , 62 ,, 600 , 131 , 9 , 60 , 1 , 6 , 94 , 0 , 7 , 3.87 , 3.84 , 1.37 , 110.5 , 111.3 , 3.35 ,,,
671,12,2004,0,1977,유동훈,KIA,, 0 , 0 , 0 , 7 , 2 , 5 , 7 , 120.2 , 42 ,, 487 , 105 , 10 , 22 , 1 , 19 , 65 , 0 , 0 , 2.98 , 3.94 , 1.05 , 146.3 , 110.7 , 3.34 ,,,
672,13,2004,0,1976,이승호,LG,, 1 , 1 , 21 , 9 , 7 , 0 , 0 , 129.2 , 53 ,, 556 , 111 , 9 , 72 , 1 , 3 , 115 , 0 , 6 , 2.71 , 3.79 , 1.41 , 155.1 , 110.8 , 3.29 ,,,
673,14,2004,0,1985,오주원,04현_#000000,, 1 , 0 , 25 , 10 , 9 , 0 , 0 , 149.0 , 71 ,, 625 , 135 , 16 , 53 , 0 , 5 , 113 , 1 , 5 , 3.99 , 4.00 , 1.26 , 108.6 , 108.4 , 3.24 ,,,
674,15,2004,0,1979,김수경,04현_#000000,, 0 , 0 , 26 , 11 , 8 , 0 , 0 , 152.2 , 74 ,, 668 , 151 , 14 , 62 , 0 , 3 , 100 , 1 , 7 , 4.01 , 4.11 , 1.40 , 108.0 , 105.4 , 3.19 ,,,
675,16,2004,0,1979,이재영,두산,, 0 , 0 , 0 , 9 , 7 , 3 , 14 , 94.0 , 30 ,, 383 , 71 , 7 , 39 , 5 , 4 , 79 , 1 , 4 , 2.59 , 3.45 , 1.17 , 162.0 , 121.5 , 3.08 ,,,
676,17,2004,0,1976,임창용,삼성,, 0 , 0 , 0 , 2 , 4 , 36 , 0 , 67.0 , 19 ,, 271 , 51 , 4 , 22 , 1 , 4 , 67 , 0 , 0 , 2.01 , 2.84 , 1.09 , 215.4 , 152.6 , 2.98 ,,,
677,18,2004,0,1981,엄정욱,SK,, 1 , 1 , 19 , 7 , 5 , 1 , 1 , 105.1 , 48 ,, 454 , 88 , 5 , 50 , 1 , 11 , 119 , 0 , 8 , 3.76 , 3.02 , 1.31 , 111.9 , 139.5 , 2.95 ,,,
678,19,2004,0,1973,마뇽,KIA,, 1 , 1 , 26 , 8 , 9 , 0 , 1 , 155.1 , 76 ,, 672 , 156 , 15 , 63 , 0 , 9 , 83 , 0 , 1 , 4.17 , 4.53 , 1.41 , 104.6 , 96.4 , 2.85 ,,,
679,20,2004,0,1974,장문석,LG,, 0 , 0 , 27 , 10 , 8 , 1 , 0 , 152.0 , 73 ,, 657 , 168 , 15 , 55 , 3 , 8 , 75 , 0 , 1 , 4.03 , 4.43 , 1.47 , 104.3 , 94.8 , 2.67 ,,,
680,21,2004,0,1978,정대현,SK,, 0 , 0 , 0 , 2 , 3 , 2 , 16 , 69.1 , 22 ,, 280 , 62 , 2 , 14 , 3 , 5 , 50 , 0 , 0 , 2.34 , 2.57 , 1.10 , 180.0 , 163.4 , 2.66 ,,,
681,22,2004,0,1971,조웅천,SK,, 0 , 0 , 0 , 6 , 6 , 9 , 10 , 79.0 , 34 ,, 344 , 79 , 5 , 26 , 5 , 4 , 85 , 1 , 1 , 3.08 , 2.57 , 1.33 , 136.7 , 163.7 , 2.61 ,,,
682,23,2004,0,1981,이승호,SK,, 1 , 0 , 30 , 15 , 9 , 0 , 1 , 169.0 , 87 ,, 743 , 160 , 21 , 87 , 2 , 13 , 145 , 0 , 2 , 3.99 , 4.59 , 1.46 , 105.3 , 91.7 , 2.54 ,,,
683,24,2004,0,1973,호지스,삼성,, 0 , 0 , 27 , 9 , 10 , 0 , 0 , 163.1 , 91 ,, 719 , 158 , 15 , 81 , 1 , 21 , 123 , 1 , 9 , 4.24 , 4.49 , 1.46 , 102.3 , 96.6 , 2.49 ,,,
684,25,2004,0,1980,김광삼,LG,, 2 , 0 , 26 , 8 , 7 , 0 , 1 , 151.0 , 85 ,, 688 , 164 , 9 , 76 , 2 , 11 , 109 , 0 , 10 , 4.47 , 3.97 , 1.59 , 93.9 , 105.8 , 2.43 ,,,
685,26,2004,0,1980,김진웅,삼성,, 0 , 0 , 24 , 9 , 7 , 0 , 2 , 135.1 , 73 ,, 597 , 126 , 12 , 75 , 2 , 8 , 99 , 1 , 3 , 4.32 , 4.43 , 1.49 , 100.4 , 97.9 , 2.19 ,,,
686,27,2004,0,1966,이강철,KIA,, 0 , 0 , 0 , 6 , 2 , 7 , 7 , 85.1 , 29 ,, 354 , 68 , 9 , 31 , 1 , 8 , 56 , 0 , 0 , 2.95 , 4.34 , 1.16 , 147.8 , 100.5 , 2.17 ,,,
687,28,2004,0,1970,정민태,04현_#000000,, 1 , 0 , 28 , 7 , 14 , 0 , 0 , 165.2 , 109 ,, 721 , 193 , 21 , 42 , 0 , 8 , 123 , 0 , 9 , 5.00 , 4.02 , 1.42 , 86.6 , 107.8 , 2.15 ,,,
688,29,2004,0,1983,신용운,KIA,, 0 , 0 , 0 , 4 , 2 , 11 , 0 , 56.1 , 14 ,, 235 , 43 , 3 , 25 , 6 , 3 , 43 , 0 , 4 , 2.08 , 3.29 , 1.21 , 210.2 , 132.8 , 2.14 ,,,
689,30,2004,0,1977,정성훈,두산,, 0 , 0 , 0 , 3 , 3 , 2 , 15 , 83.2 , 34 ,, 329 , 64 , 4 , 20 , 2 , 8 , 42 , 0 , 0 , 3.12 , 3.50 , 1.00 , 134.3 , 119.7 , 2.13 ,,,
690,1,2005,0,1982,오승환,삼성,, 0 , 0 , 0 , 10 , 1 , 16 , 11 , 99.0 , 13 ,, 358 , 46 , 5 , 20 , 1 , 0 , 115 , 0 , 1 , 1.18 , 1.93 , 0.67 , 360.2 , 221.2 , 6.09 ,,,
691,2,2005,0,1981,배영수,삼성,, 2 , 1 , 26 , 11 , 11 , 2 , 1 , 173.0 , 61 ,, 713 , 148 , 10 , 48 , 2 , 11 , 147 , 0 , 14 , 2.86 , 3.06 , 1.13 , 148.8 , 139.3 , 5.97 ,,,
692,3,2005,0,1975,손민한,롯데,, 1 , 0 , 26 , 18 , 7 , 1 , 0 , 168.1 , 54 ,, 678 , 149 , 9 , 38 , 2 , 2 , 105 , 0 , 4 , 2.46 , 3.14 , 1.11 , 167.4 , 131.1 , 5.84 ,,,
693,4,2005,0,1972,리오스,KIA,, 3 , 0 , 32 , 15 , 12 , 0 , 0 , 205.1 , 88 ,, 856 , 203 , 20 , 57 , 0 , 17 , 147 , 1 , 4 , 3.51 , 3.93 , 1.27 , 118.0 , 106.9 , 4.81 ,,,
694,5,2005,0,1972,문동환,한화,, 1 , 0 , 26 , 10 , 9 , 0 , 0 , 173.2 , 74 ,, 739 , 174 , 12 , 57 , 2 , 3 , 103 , 0 , 3 , 3.47 , 3.73 , 1.33 , 126.1 , 117.4 , 4.72 ,,,
695,6,2005,0,1980,이재우,두산,, 0 , 0 , 0 , 7 , 5 , 1 , 28 , 99.2 , 22 ,, 403 , 82 , 6 , 26 , 2 , 4 , 79 , 0 , 3 , 1.72 , 3.06 , 1.08 , 241.2 , 135.4 , 4.12 ,,,
696,7,2005,0,1975,캘러웨이,05현_#000000,, 0 , 0 , 31 , 16 , 9 , 0 , 0 , 197.1 , 99 ,, 848 , 206 , 17 , 54 , 0 , 12 , 103 , 0 , 3 , 3.97 , 4.10 , 1.32 , 108.1 , 104.8 , 3.94 ,,,
697,8,2005,0,1972,김원형,SK,, 0 , 0 , 30 , 14 , 8 , 0 , 0 , 171.2 , 73 ,, 715 , 172 , 17 , 30 , 0 , 15 , 94 , 0 , 1 , 3.41 , 3.99 , 1.18 , 121.2 , 103.4 , 3.89 ,,,
698,9,2005,0,1977,박명환,두산,, 0 , 0 , 20 , 11 , 3 , 0 , 0 , 112.1 , 40 ,, 473 , 81 , 4 , 58 , 0 , 6 , 113 , 0 , 17 , 2.96 , 3.18 , 1.24 , 139.6 , 130.3 , 3.61 ,,,
699,10,2005,0,1972,위재영,SK,, 0 , 0 , 0 , 3 , 2 , 6 , 12 , 95.1 , 23 ,, 385 , 69 , 4 , 41 , 2 , 3 , 80 , 0 , 0 , 1.89 , 3.20 , 1.15 , 218.7 , 128.9 , 3.52 ,,,
700,11,2005,0,1976,황두성,05현_#000000,, 0 , 0 , 5 , 11 , 9 , 1 , 7 , 128.2 , 53 ,, 535 , 106 , 15 , 41 , 1 , 6 , 137 , 0 , 5 , 3.29 , 3.47 , 1.14 , 130.5 , 123.5 , 3.46 ,,,
701,12,2005,0,1977,랜들,두산,, 0 , 0 , 26 , 12 , 7 , 0 , 0 , 149.2 , 59 ,, 658 , 163 , 18 , 47 , 1 , 15 , 111 , 0 , 3 , 3.25 , 4.32 , 1.40 , 127.5 , 95.8 , 3.33 ,,,
702,13,2005,0,1983,신승현,SK,, 2 , 2 , 22 , 12 , 9 , 0 , 0 , 154.2 , 70 ,, 653 , 146 , 12 , 45 , 0 , 12 , 91 , 0 , 4 , 3.38 , 3.95 , 1.24 , 122.4 , 104.5 , 3.28 ,,,
703,14,2005,0,1974,최영필,한화,, 0 , 0 , 13 , 8 , 8 , 5 , 0 , 112.0 , 41 ,, 469 , 109 , 9 , 30 , 1 , 6 , 72 , 1 , 4 , 2.89 , 3.71 , 1.24 , 151.4 , 118.0 , 3.27 ,,,
704,15,2005,0,1983,김진우,KIA,, 6 , 1 , 23 , 6 , 10 , 1 , 0 , 145.0 , 71 ,, 623 , 126 , 10 , 61 , 1 , 12 , 123 , 1 , 10 , 3.91 , 3.71 , 1.29 , 108.7 , 114.8 , 3.23 ,,,
705,16,2005,0,1971,이상목,롯데,, 0 , 0 , 17 , 6 , 7 , 0 , 0 , 101.1 , 35 ,, 403 , 88 , 8 , 16 , 2 , 7 , 69 , 0 , 0 , 3.02 , 3.30 , 1.03 , 136.4 , 124.7 , 3.21 ,,,
706,17,2005,0,1973,최원호,LG,, 0 , 0 , 27 , 13 , 6 , 0 , 0 , 163.2 , 79 ,, 704 , 153 , 17 , 60 , 6 , 15 , 106 , 0 , 3 , 4.07 , 4.34 , 1.30 , 102.3 , 96.0 , 2.93 ,,,
707,18,2005,0,1966,송진우,한화,, 1 , 1 , 22 , 11 , 7 , 0 , 0 , 127.2 , 61 ,, 551 , 126 , 13 , 42 , 1 , 7 , 88 , 0 , 2 , 3.81 , 4.09 , 1.32 , 115.0 , 107.1 , 2.83 ,,,
708,19,2005,0,1980,권오준,삼성,, 0 , 0 , 3 , 3 , 1 , 17 , 1 , 63.0 , 17 ,, 247 , 47 , 4 , 14 , 1 , 3 , 69 , 0 , 2 , 2.29 , 2.41 , 0.97 , 186.2 , 176.5 , 2.79 ,,,
